they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
simple and elaborate , senators and representatives | representative | person:WordNet | toasted | toast | the beginnings of new careers | beginning | 
New Jersey | New Jersey | location:Stanford | introduced | introduce | no new lawmakers | lawmaker | leader:WordNet,person:WordNet
New Jersey | New Jersey | location:Stanford | introduced no new lawmakers to | introduce lawmaker to | Washington | Washington | location:Stanford
New Jersey | New Jersey | location:Stanford | introduced no new lawmakers with | introduce lawmaker with | 14 of its representatives earning re-election | re-election | 
New Jersey | New Jersey | location:Stanford | be both senators in | be senator in | midterm | midterm | 
Connecticut | Connecticut |  | also sent back | send back | its six House members | member | person:WordNet
New York | New York | location:Stanford | claimed | claim | the most festivities returning for six more years in the Capital and three new Democrats - George J. Hochbrueckner from the 1st District , the Rev. Floyd H. Flake of the 6th District and Louise M. Slaughter from the 30th - and one new Republican | Capital Democrats George J. Hochbrueckner District Rev. Floyd H. Flake District Louise M. Slaughter Republican | person:Stanford
the most festivities | festivity | activity:WordNet | returning for | return for | six more years | year | time_period:WordNet
Amory Houghton Jr. of the 34th District | Amory Houghton Jr. | person:Stanford | joining | join | 30 incumbent colleagues | colleague | person:WordNet
Amory Houghton Jr. of the 34th District | Amory Houghton Jr. | person:Stanford | joining 30 incumbent colleagues in | join colleague in | the House | House | organization:Stanford
the 21 busloads of people | people | person:People | close to be 1,000 supporters of | to be supporter of | Mr. Flake | Mr. Flake | person:Stanford
Mr. Flake | Mr. Flake | person:Stanford | is | be | pastor | pastor | leader:WordNet,person:WordNet
parishioners | parishioner | person:WordNet | be volunteers from | be volunteer from | the church 's school | school | organization:WordNet
volunteers who had stuffed envelopes and staffed telephones during his campaign , and children | volunteer | person:WordNet | be volunteers from | be volunteer from | the church 's school | school | organization:WordNet
I | I | person:Pronoun | know | know | everyone | everyone | 
he | he | person:Pronoun | entered | enter | a huge ballroom | ballroom | structure:WordNet
he | he | person:Pronoun | entered a huge ballroom at | enter ballroom at | the Hyatt Hotel | Hyatt Hotel | organization:Stanford
his friends | friend | person:WordNet | were feasting on | be feast on | a lavish buffet | buffet | 
I | I | person:Pronoun | thank | thank | the Lord | Lord | location:Stanford
his was not a freshman inauguration | inauguration |  | planned | plan | an elaborate program that began Monday with a cocktail reception | program | 
an elaborate program | program |  | began with | begin with | a cocktail reception | reception | 
his was not a freshman inauguration | inauguration |  | continued in | continue in | today | today | 
his was not a freshman inauguration | inauguration |  | continued with | continue with | a brunch and a musical revue | brunch | nutrient:WordNet
his was not a freshman inauguration | inauguration |  | shifted to | shift to | a champagne dance tonight | tonight | 
his was not a freshman inauguration | inauguration |  | is to end with | be to end with | a send-off brunch | brunch | nutrient:WordNet
his was not a freshman inauguration | inauguration |  | to end with | to end with | a send-off brunch | brunch | nutrient:WordNet
he | he | person:Pronoun | was putting on | be put on | the ritz | ritz | person:WordNet,leader:WordNet
he | he | person:Pronoun | did not plan | plan | a third term | term | 
Mr. D'Amato | Mr. D'Amato | person:Stanford | first delivered then | deliver | his legislative agenda | agenda | 
I | I | person:Pronoun | 'm not as driven as | be drive | I | I | person:Pronoun
Most of the swearing-in soirees | soiree |  | to watch | to watch | the ceremonies | ceremony | 
Most of the swearing-in soirees | soiree |  | to watch the ceremonies on | to watch ceremony on | television and cheer | television | 
Mr. Hochbrueckner , of Coram | Mr. Hochbrueckner | person:Stanford | to watch | to watch | the ceremonies | ceremony | 
Mr. Hochbrueckner , of Coram | Mr. Hochbrueckner | person:Stanford | to watch the ceremonies on | to watch ceremony on | television and cheer | television | 
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited One of his aides even | invite of aide | 75 relatives and friends | relative | person:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited even nine more than are usually allotted to freshmen | invite than be allot to freshman | 75 relatives and friends | relative | person:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited 75 relatives even to | invite relative to | his office | office | structure:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited One of his aides even to | invite of aide to | his office | office | structure:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited even nine more than are usually allotted to freshmen to | invite than be allot to freshman to | his office | office | structure:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited friends even to | invite friend to | his office | office | structure:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited 75 relatives even for | invite relative for | a buffet lunch | lunch | nutrient:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited One of his aides even for | invite of aide for | a buffet lunch | lunch | nutrient:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited even nine more than are usually allotted to freshmen for | invite than be allot to freshman for | a buffet lunch | lunch | nutrient:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited friends even for | invite friend for | a buffet lunch | lunch | nutrient:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited 75 relatives even | invite relative | One of his aides | aide | person:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited even nine more than are usually allotted to freshmen | invite than be allot to freshman | One of his aides | aide | person:WordNet
Mr. Houghton , of Corning | Mr. Houghton | person:Stanford | invited friends even | invite friend | One of his aides | aide | person:WordNet
most of the lawmakers | lawmaker | leader:WordNet,person:WordNet | got down to | get to | the business of government | government | organization:WordNet
Bruce Hurst | Bruce Hurst | person:Stanford | beat the Mets twice in | beat Mets in | the World Series | World Series | 
Bruce Hurst | Bruce Hurst | person:Stanford | became | become | the first player to file for salary arbitration | player | person:WordNet
He | He | person:Pronoun | won | win | the first and fifth games of the World Series | game | activity:WordNet,game:WordNet
Jim Clancy | Jim Clancy | person:Stanford | reached | reach | agreement | agreement | 
Jim Clancy | Jim Clancy | person:Stanford | reached agreement with the Toronto Blue Jays on a two-year contract in | reach agreement with Toronto Blue Jays on contract in | one of 17 free agents whose 1986 clubs faced a deadline at midnight tomorrow night | agent | 
Jim Clancy | Jim Clancy | person:Stanford | reached agreement with the Toronto Blue Jays on a two-year contract . | reach agreement with Toronto Blue Jays on contract . | Woodward | Woodward | person:Stanford
Clancy | Clancy | person:Stanford | was | be | one of 17 free agents | agent | 
whose 1986 clubs | club | organization:WordNet | faced | face | a deadline | deadline | 
whose 1986 clubs | club | organization:WordNet | faced a deadline at | face deadline at | midnight | midnight | time:Stanford
the club | club | organization:WordNet | would not be signing | be sign | Gary Roenicke | Gary Roenicke | person:Stanford
he | he | person:Pronoun | was still trying to sign | be try to sign | Willie Randolph , Ron Guidry and Tommy John | Willie Randolph | person:Stanford
he | he | person:Pronoun | to sign | to sign | Willie Randolph , Ron Guidry and Tommy John | Willie Randolph | person:Stanford
A major editorial | editorial |  | attacked | attack | the spread of ''bourgeois liberalism | spread | 
It | It |  | emphasized bluntly | emphasize | the unequivocal leadership of the Communist Party | leadership | activity:WordNet
The term | term |  | ''bourgeois | ''bourgeoi | Greater freedom and democracy | freedom | 
The term | term |  | ''bourgeois Greater freedom Reaching | ''bourgeoi Greater freedom Reaching | the Limits | Limits | 
The term | term |  | ''bourgeois democracy Reaching | ''bourgeoi democracy Reaching | the Limits | Limits | 
liberalism | liberalism |  | has been used by | be use by | Beijing | Beijing | location:Stanford
liberalism | liberalism |  | to disparage | to disparage | Western democratic values | value | 
the recent protests | protest |  | emanating from | emanate from | university campuses | campus | location:WordNet
students | student | person:WordNet | were threatened by | be threaten by | some newspapers | newspaper | 
it | it |  | was | be | the weight of the party 's authority | weight | 
it | it |  | was the weight of | be weight of | the party 's authority | authority | 
The importance of the editorial | importance |  | was underscored in | be underscore in | this evening | evening | time_period:WordNet,time:Stanford
it | it |  | was read on | be read on | nationwide television | television | 
it | it |  | was read after | be read after | the 7 o'clock news | news | 
The authoritative editorial | editorial |  | culminated | culminate | two weeks of increasing press criticism | criticism | 
increasing press criticism | criticism |  | be directed at | be direct at | the student protesters | protester | person:WordNet
local officials and some party officials | official | person:WordNet | went on | go on | the attack | attack | activity:WordNet
The most vitriolic attacks | attack | activity:WordNet | have appeared in | appear in | Beijing Daily | Beijing Daily | location:Stanford
Beijing Daily | Beijing Daily | location:Stanford | be the organ of | be organ of | the party organization | organization | organization:WordNet
the political posters | poster |  | pasted so-called big-character posters on | paste poster on | university campuses | campus | location:WordNet
Beijing Daily | Beijing Daily | location:Stanford | quoted | quote | an extremely harsh attack | attack | activity:WordNet
the citizens of Beijing | citizen | person:WordNet | to heighten | to heighten | their vigilance | vigilance | 
the citizens of Beijing | citizen | person:WordNet | foil | foil | the plot of the class enemy | plot | 
People 's Daily | Daily |  | quoted hard | quote | a telegram | telegram | 
People 's Daily | Daily |  | quoted a telegram from the parents of a student hard at | quote telegram from parent of student at | Mongolia | Mongolia | organization:Stanford
People 's Daily | Daily |  | do not take | take | part | part | 
People 's Daily | Daily |  | do not take part in | take part in | unlawful activities | activity | activity:WordNet
People 's Daily | Daily |  | not take | take | part | part | 
The editorial | editorial |  | also quoted The speeches , in which he criticized deviation from the party from | quote speech , in which criticize deviation from party from | speeches | speech | 
The editorial | editorial |  | also quoted | quote | The speeches in which he criticized deviation from the party | speech | 
he | he | person:Pronoun | criticized | criticize | deviation | deviation | 
he | he | person:Pronoun | criticized deviation from | criticize deviation from | the party | party | organization:WordNet
''Now | ''Now |  | is | be | the time to be sober-minded | time | 
the editorial | editorial |  | said in | say in | today | today | time_unit:Stanford
liberalism | liberalism |  | is | be | the sort of thinking endangering social stability and unity | sort | 
liberalism | liberalism |  | is the sort of | be sort of | thinking which is poisoning our youth | thinking | 
editorials | editorial |  | are approved by | be approve by | senior members of the party 's Central Committee | member | person:WordNet
The prominence | prominence |  | accorded | accord | the editorial | editorial | 
The prominence | prominence |  | accorded the editorial in | accord editorial in | today | today | 
essays and articles | essay |  | discussing political and economic thinkers from | discuss thinker from | Aristotle | Aristotle | location:Stanford,person:Stanford
essays and articles | essay |  | discussing political and economic thinkers to | discuss thinker to | Adam Smith | Adam Smith | person:Stanford
essays and articles | essay |  | discussing political and economic thinkers to | discuss thinker to | Friedrich von Hayek . Many intellectuals | Friedrich von Hayek | location:Stanford,person:Stanford
China | China | location:Stanford | was entering | be enter | its greatest period of intellectual freedom | freedom | 
liberty of expression | liberty |  | may be in | be in | doubt | doubt | 
The editorial | editorial |  | echoed | echo | many of the same themes | theme | 
the editorial | editorial |  | said of | say of | They | They | person:Pronoun
They | They | person:Pronoun | are the outcome of | be outcome of | bourgeois liberalism spreading unchecked in recent years | liberalism | 
bourgeois liberalism | liberalism |  | spreading unchecked in | spread in | recent years | year | time_period:WordNet
They | They | person:Pronoun | do not have a clear and firm attitude towards | attitude towards | it | it | 
The editorial | editorial |  | blamed ''which has created conditions for bourgeois liberal thoughts to grow and spread . This is a grave lesson | blame ''which create condition for thought to grow spread . be lesson | the failure what it called ''ideological work '' for the flourishing of ideas about democracy | failure | 
The editorial | editorial |  | blamed the failure of what it called ''ideological work '' for the flourishing of ideas about democracy | blame failure of call work '' for flourishing of idea about democracy | a grave lesson | lesson | activity:WordNet
John Cardinal O'Connor of New York | John Cardinal O'Connor | person:Stanford | arrived here on | arrive on | his recent visit | visit | 
John Cardinal O'Connor of New York | John Cardinal O'Connor | person:Stanford | arrived here in | arrive in | his recent visit | visit | 
the dignitaries | dignitary | person:WordNet | greeting him at | greet at | the airport | airport | 
The clergyman | clergyman | leader:WordNet,person:WordNet | kissed the Cardinal on | kiss Cardinal on | both cheeks | cheek | 
The clergyman who kissed the Cardinal on both cheeks | clergyman | leader:WordNet,person:WordNet | is | be | the Palestinian-born leader of Jordan 's 5,000-member Anglican Arab population | leader | leader:WordNet,person:WordNet
He | He | person:Pronoun | is also in | be in | his second term | term | 
He | He | person:Pronoun | is also as | be as | a member of the Executive Committee of the Palestine Liberation Organization | member | person:WordNet
He | He | person:Pronoun | be a member of | be member of | the Executive Committee of the Palestine Liberation Organization | Executive Committee | organization:Stanford
Christian Arabs | Christian Arabs | person:Stanford | be survivors of | be survivor of | a 2,000-year-old religious tradition | tradition | 
survivors of a 2,000-year-old religious tradition | survivor | person:WordNet | are playing | be play | a role | role | activity:WordNet
Most of the Christian Arabs | Christian Arabs | person:Stanford | are members of | be member of | the 1.4 million-strong community of Palestinian exiles | exile | person:WordNet
Most of the Christian Arabs | Christian Arabs | person:Stanford | are members of the 1.4 million-strong community of | be member of community of | Palestinian exiles who now make up over half of Jordon 's population | exile | person:WordNet
Palestinian exiles | exile | person:WordNet | now make up over | make up over | half of Jordon 's population | population | 
Bishop Khoury | Bishop Khoury | person:Stanford | said in | say in | an interview | interview | 
Bishop Khoury | Bishop Khoury | person:Stanford | said | say | an interview | interview | 
Bishop Khoury | Bishop Khoury | person:Stanford | said at | say at | his church | church | organization:WordNet
Bishop Khoury | Bishop Khoury | person:Stanford | said to | say to | his church | church | organization:WordNet
Bishop Khoury | Bishop Khoury | person:Stanford | said explaining | say explain | the political activism of Palestinian Christians | activism | 
we | we | person:Pronoun | feel | feel | a need to prove our sincerity | need | 
that Christians | Christians | person:WordNet | created | create | Israel | Israel | location:Stanford
Christian Arabs account | account |  | consist of | consist of | Greek Orthodox | Greek Orthodox | organization:Stanford
they | they | person:Pronoun | consist of | consist of | Greek Orthodox | Greek Orthodox | organization:Stanford
their influence | influence |  | is apparent in | be in | the easygoing religious atmosphere that infuses the capital of this predominantly Moslem country where even modest shops and stalls display twinkling Christmas trees | atmosphere | 
modest shops and stalls | shop | structure:WordNet | display | display | twinkling Christmas trees | tree | 
It | It |  | is apparent too in | be in | Bishop Khoury 's seat | seat | location:WordNet
It | It |  | is apparent too at | be at | the Top of P.L.O. Factions | P.L.O. Factions | organization:Stanford
''It | ''It |  | 's not formally reserved for | be reserve for | Christians | Christians | person:WordNet
Hanna Nasir | Hanna Nasir | person:Stanford | be the Christian Palestinian president of | be Christian Palestinian president of | Bir Zeit University | Bir Zeit University | organization:Stanford
Christian Palestinian | Christian Palestinian |  | be president of | be president of | Bir Zeit University | Bir Zeit University | organization:Stanford
Hanna Nasir | Hanna Nasir | person:Stanford | was a member before | be member before | Bishop Khoury | Bishop Khoury | person:Stanford
the two main factions | faction |  | making up | make up | the P.L.O. | P.L.O. | 
Nayef Hawatmeh , who runs the similarly radical Democratic Front for the Liberation of Palestine . Mr. Arafat 's former information chief | Nayef Hawatmeh | person:Stanford | assassinated in | assassinate in | 1973 | 1973 | time_unit:Stanford,number:NUM
Christians | Christians | person:WordNet | was | be | a Christian | Christian | 
Christians | Christians | person:WordNet | are ''conspiciously prominent too at | be at | lower levels | level | 
Bishop Khoury | Bishop Khoury | person:Stanford | describes | describe | himself | himself | 
Bishop Khoury | Bishop Khoury | person:Stanford | describes himself To resist | describe To resist | injustice | injustice | activity:WordNet
he | he | person:Pronoun | still draws | draw | a distinction | distinction | 
you | you | person:Pronoun | still glorify | glorify | the resistance movements | movement | 
you | you | person:Pronoun | still glorify the resistance movements in | glorify resistance movement in | the Second World War | World War | 
King Hussein of Jordan | King Hussein | person:Stanford | gives Traditionally | give | his country 's Christian minority preferential political treatment | treatment | activity:WordNet
Christians | Christians | person:WordNet,organization:Stanford | occupy | occupy | two Cabinet posts | post | location:WordNet
Christians | Christians | person:WordNet,organization:Stanford | fill | fill | 10 reserved seats helped by their Western-oriented education and often superior knowledge of foreign languages | knowledge | 
Christians | Christians | person:WordNet,organization:Stanford | fill 10 reserved seats in the country 's 60-seat Parliament . Christian Arabs , helped by their Western-oriented education and often superior knowledge of foreign languages dominate | fill reserve seat in country 's Parliament . Christian Arabs , help by education knowledge of language dominate | business | business | business:WordNet,organization:WordNet
10 reserved seats | seat | location:WordNet | be helped by | be help by | their Western-oriented education and often superior knowledge of foreign languages | knowledge | 
10 reserved seats | seat | location:WordNet | be helped knowledge | be help knowledge | their Western-oriented education and often superior knowledge of foreign languages | knowledge | 
The comfortable position of Jordan 's Christian minority | position | location:WordNet | owes much to | owe to | King Hussein 's efforts | effort | activity:WordNet
the Palestinians | Palestinians | location:Stanford | became strained in | become strain in | last year | year | time_period:WordNet
the P.L.O. | P.L.O. |  | rejected | reject | his Middle East initiative | initiative | 
it | it |  | required | require | recognition of Israel | recognition | 
The King | King |  | still accepts | accept | the P.L.O. | P.L.O. | location:Stanford
The King | King |  | still accepts the P.L.O. as | accept P.L.O. as | the Palestinian people 's representative | representative | person:WordNet
he | he | person:Pronoun | has closed | close | P.L.O. offices | office | structure:WordNet
he | he | person:Pronoun | has closed most P.L.O. offices in | close P.L.O. office in | Jordan | Jordan | location:Stanford
the Jordanian Army | Jordanian Army | organization:Stanford,location:Stanford | fought | fight | pitched battles | battle | 
the Jordanian Army | Jordanian Army | organization:Stanford,location:Stanford | fought pitched battles against | fight battle against | the P.L.O. | P.L.O. | location:Stanford
Dr. Nasir | Dr. Nasir | person:Stanford | said in | say in | Minor | Minor | 
the continuing political deadlock | deadlock |  | will play into | play into | the hands of extremists | hand | 
they | they | person:Pronoun | marry | marry | Moslem women | woman | person:WordNet
The Middle East crisis | crisis |  | encourages | encourage | fundamentalism | fundamentalism | 
Christians | Christians | person:WordNet | are losing | be lose | the educational lead that helped assure their privileged role in Jordan and other Middle Eastern countries | lead | 
many Christan Arabs | Christan Arabs | person:Stanford | remain proud of | remain of | their faith | faith | 
We | We | person:Pronoun | were | be | Arab monotheists before Islam and that is something to be proud of | something | 
We | We | person:Pronoun | were Arab monotheists before | be monotheist before | Islam | Islam | location:Stanford
something Moslems | Moslems |  | must respect | respect | us | we | person:Pronoun
no spread of the cancer | spread |  | found in | find in | his colon | colon | organ:WordNet
no spread of the cancer | spread |  | found in | find in | 1985 | 1985 | time_unit:Stanford,number:NUM
The physician | physician | person:WordNet | said in | say in | a statement | statement | 
The physician | physician | person:WordNet | said | say | a statement | statement | 
these and other X-rays | X-rays |  | ''showed | ''show | no abnormalities or disease other | abnormality | 
He | He | person:Pronoun | was referring to | be refer to | the President 's earlier lung , colon and prostate operations | lung | organ:WordNet
Nancy Reagan | Nancy Reagan | person:Stanford | be the President 's wife outside | be President 's wife outside | the Bethesda Naval Hospital tonight | tonight | 
Nancy Reagan | Nancy Reagan | person:Stanford | be told reporters outside | be tell reporter outside | the Bethesda Naval Hospital tonight | tonight | 
the President | President |  | received | receive | a clean bill of health | bill | 
Mr. Reagan | Mr. Reagan | person:Stanford | was experiencing | be experience | no pain | pain | 
pathologists | pathologist | person:WordNet | found | find | no evidence of cancer | evidence | 
the tissue | tissue |  | be removed in | be remove in | the operation | operation | 
Mr. Reagan | Mr. Reagan | person:Stanford | said in | say in | an earlier statement | statement | 
Dr. Hutton | Dr. Hutton | person:Stanford | said in | say in | an earlier statement | statement | 
Mr. Reagan | Mr. Reagan | person:Stanford | shouted to | shout to | reporters | reporter | person:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | shouted from | shout from | the window of his hospital suite | window | structure:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | shouted | shout | he | he | person:Pronoun
Mr. Reagan | Mr. Reagan | person:Stanford | appeared at | appear at | the window | window | structure:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | appeared as | appear as | Mrs. Reagan | Mrs. Reagan | person:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | appeared carrying | appear carry | a box of cookies | box | 
official acts and announcements today Mr. Reagan and his staff | act |  | conveyed | convey | the impression | impression | 
his Presidency | Presidency |  | is facing | be face | its greatest political challenge | challenge | 
Larry Speakes | Larry Speakes | person:Stanford | said of | say of | Mr. Reagan | Mr. Reagan | person:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | would deliver | deliver | the State of the Union Message | State | location:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | would deliver the State of the Union Message at | deliver State of Union Message at | 9 P.M. | P.M. | location:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | awakened apple juice at | awaken apple juice at | 7:30 | 7:30 | number:NUM,time:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | awakened decaffeinated coffee at | awaken coffee at | 7:30 | 7:30 | time:Stanford,number:NUM
Mr. Reagan | Mr. Reagan | person:Stanford | awakened fresh fruit , toast and honey , at | awaken fruit , toast honey , at | 7:30 | 7:30 | time:Stanford,number:NUM
Mr. Reagan | Mr. Reagan | person:Stanford | awakened honey at | awaken honey at | 7:30 | 7:30 | time:Stanford,number:NUM
Mr. Reagan | Mr. Reagan | person:Stanford | awakened toast at | awaken toast at | 7:30 | 7:30 | time:Stanford,number:NUM
Mr. Reagan | Mr. Reagan | person:Stanford | awakened | awaken | fresh fruit , toast and honey , apple juice and decaffeinated coffee | fruit | 
Mr. Reagan | Mr. Reagan | person:Stanford | ate | eat | a breakfast of bran cereal | breakfast | nutrient:WordNet
8 his doctors | doctor | person:WordNet | informed | inform | him | he | person:Pronoun
Mr. Reagan | Mr. Reagan | person:Stanford | watched | watch | television | television | 
Mr. Reagan | Mr. Reagan | person:Stanford | read | read | newspapers | newspaper | 
Mr. Reagan | Mr. Reagan | person:Stanford | read newspapers before | read newspaper before | 10 A.M. when he met with Donald T. Regan , the White House chief of staff , and Frank C. Carlucci | A.M. | 
he | he | person:Pronoun | met with | meet with | Donald T. Regan | Donald T. Regan | person:Stanford
Donald T. Regan | Donald T. Regan | person:Stanford | be the White House chief of | be White House chief of | staff | staff | organization:WordNet
10 A.M. when he met with Donald T. Regan , the White House chief of staff , and Frank C. Carlucci | A.M. |  | be director of | be director of | the National Security Council | National Security Council | organization:Stanford
They | They | person:Pronoun | discussed | discuss | a wide range of domestic and foreign policy items , including the budget , the new Congressional session , and a foreign policy update | range | 
This afternoon | afternoon | time_period:WordNet | made | make | congratulatory calls | call | 
This afternoon | afternoon | time_period:WordNet | made congratulatory calls to | make call to | Congressional leaders | leader | person:WordNet,leader:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | made | make | congratulatory calls | call | 
Mr. Reagan | Mr. Reagan | person:Stanford | made congratulatory calls to | make call to | Congressional leaders | leader | person:WordNet,leader:WordNet
he | he | person:Pronoun | spoke Robert C. Byrd of West Virginia , with | speak Robert C. Byrd of West Virginia , with | the Senate Democratic leader | leader | leader:WordNet,person:WordNet
he | he | person:Pronoun | spoke the Republican leader , Senator Bob Dole of Kansas with | speak leader , Senator Bob Dole of Kansas with | the Senate Democratic leader | leader | leader:WordNet,person:WordNet
he | he | person:Pronoun | spoke | speak | Robert C. Byrd of West Virginia , and the Republican leader | Robert C. Byrd | person:Stanford
Senators Dole and Byrd | Dole | person:Stanford | said | say | Mr. Reagan | Mr. Reagan | person:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | was in | be in | good spirits | spirit | 
He | He | person:Pronoun | sounded | sound | chipper | chipper | 
He | He | person:Pronoun | sounded pretty chipper to | sound chipper to | me | I | person:Pronoun
they | they | person:Pronoun | work on | work on | my prostate | prostate | organ:WordNet
P.M. Mr. Reagan | P.M. Mr. Reagan | person:Stanford,location:Stanford | met with | meet with | Vice President Bush | Vice President Bush | person:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | will return a trans-urethral resection to | return resection to | the White House | White House | organization:Stanford
Mr. Reagan | Mr. Reagan | person:Stanford | will return | return | a trans-urethral resection | resection | activity:WordNet
he | he | person:Pronoun | continues to recuperate from | continue to recuperate from | the prostate operation | operation | 
he | he | person:Pronoun | to recuperate from | to recuperate from | the prostate operation | operation | 
Mr. Reagan | Mr. Reagan | person:Stanford | ate | eat | a supper of bouillon | supper | nutrient:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | ate a supper of bouillon , gelatin and water in | eat supper of bouillon , gelatin water in | preparation | preparation | activity:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | has reached | reach | a critical stage | stage | time_period:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | has reached a critical stage in | reach stage in | his recuperation | recuperation | 
Mr. Reagan | Mr. Reagan | person:Stanford | has reached a critical stage from | reach stage from | colon cancer | cancer | illness:WordNet
colon cancer | cancer | illness:WordNet | reappears | reappear | about two-thirds of the time | two-thirds | 
it | it |  | is within | be within | two years | year | time_period:WordNet
the patient | patient | person:WordNet | swallows shortly beforehand | swallow | a glass of barium | glass | 
the radiologists | radiologist | person:WordNet | identify anatomically | identify | the intestines | intestine | organ:WordNet
the radiologists | radiologist | person:WordNet | to distinguish | to distinguish | them | they | person:Pronoun
the radiologists | radiologist | person:WordNet | to distinguish them from | to distinguish from | other organs and possible abnormalities | organ | organ:WordNet
radiologists | radiologist | person:WordNet | also inject | inject | an iodine | iodine | substance:WordNet
radiologists | radiologist | person:WordNet | also inject an iodine containing substance to help outline the liver and to look for metastases , or spread of cancer on | inject iodine contain substance to help outline liver to look for metastase , spread of cancer on | the CAT scan X-rays | X-rays | 
A patient | patient | person:WordNet | must lie on | lie on | his back | back | 
A patient | patient | person:WordNet | must lie for | lie for | about 40 minutes | minute | time_unit:WordNet
Doctors | Doctors | person:WordNet | can see | see | the X-rays | X-rays | 
Doctors | Doctors | person:WordNet | be the X-rays on | be X-rays on | a console | console | 
Dr. Joseph T. Ferrucci | Dr. Joseph T. Ferrucci | person:Stanford | be a radiologist at | be radiologist at | the Massachusetts General Hospital | Massachusetts General Hospital | organization:Stanford
It | It |  | takes about | take about | another 10 minutes | minute | time_unit:WordNet
Doctors | Doctors | person:WordNet | usually make | make | their interpretations | interpretation | 
An experienced radiologist | radiologist | person:WordNet | can look at | look at | a CAT scan | scan | activity:WordNet
The final diagnosis | diagnosis |  | can be made within | be make within | an hour | hour | time_unit:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | has a catheter , or tube in | catheter , tube in | place | place | location:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | has a catheter , or tube to drain | catheter , tube to drain | urine | urine | substance:WordNet
Mr. Reagan | Mr. Reagan | person:Stanford | has a catheter , or tube to drain urine from | catheter , tube to drain urine from | his bladder | bladder | 
Mr. Reagan | Mr. Reagan | person:Stanford | to drain urine from | to drain urine from | his bladder | bladder | 
It | It |  | is customary for | be for | urologists | urologist | person:WordNet
the President | President |  | to take | to take | a number of steps | step | 
the President | President |  | to take a number of steps to see | to take number of step to see | Mr. Regan and Mr. Carlucci , his doctors | Mr. Regan | person:Stanford
the President | President |  | be a number of | be number of | steps | step | 
the President | President |  | to see | to see | Mr. Regan and Mr. Carlucci , his doctors | Mr. Regan | person:Stanford
such clots | clot |  | form in | form in | the leg or the pelvis | leg | 
pieces | piece |  | lodge in | lodge in | the lungs | lung | organ:WordNet
pieces | piece |  | lodge to cause | lodge to cause | sudden death or lesser problems | death | 
Celanese Fibers | Celanese Fibers |  | has of | of | the fibers market | market | activity:WordNet
it | it |  | be a beneficiary of | be beneficiary of | any major new trend | trend | location:WordNet
a particular growth area | area | location:WordNet | is | be | the 50-to-65-year-old market | market | activity:WordNet
it | it |  | was properly reading | be read | the pulse of this demographic segment | pulse | 
Celanese | Celanese |  | commissioned | commission | a Gallup Organization survey | survey | activity:WordNet
Celanese | Celanese |  | commissioned a Gallup Organization survey into | commission Gallup Organization survey into | the desires of 303 of its members | desire | 
the company | company | organization:WordNet | be its agency of | be agency of | six months | month | time_period:WordNet
the company | company | organization:WordNet | christened | christen | the group | group | 
It | It |  | has hired certainly | hire | a celebrity who can easily get onto talent-hungry local TV talk shows and news feature programs with the fashion message | celebrity | person:WordNet
The cleverly selected spokesman | spokesman | person:WordNet | is | be | Rue McClanahan | Rue McClanahan | person:Stanford
Rue McClanahan | Rue McClanahan | person:Stanford | stars with | star with | Betty White and Bea Arthur | Betty White | organization:Stanford,person:Stanford
Rue McClanahan | Rue McClanahan | person:Stanford | stars on | star on | the NBC television program ''Golden Girls | Girls | person:WordNet
Rue McClanahan | Rue McClanahan | person:Stanford | is of | be of | an appropriate age | age | 
